gid,chr,str,glen,name,type,TPM_upf2_cortex_ko_1,TPM_upf2_cortex_ko_2,TPM_upf2_cortex_ctr_1,TPM_upf2_cortex_ctr_2
ENSMUSG00000103147.1,chr1,+,926,Gm7341,processed_pseudogene,0,0,0,0.19487
ENSMUSG00000103161.1,chr1,-,3012,Gm38148,TEC,0,0,0,0.029955
ENSMUSG00000102331.1,chr1,-,3259,Gm19938,lncRNA,0.662182,0.472728,0.264356,0.359903
ENSMUSG00000102348.1,chr1,+,1634,Gm10568,TEC,0,0,0,0
ENSMUSG00000102592.1,chr1,+,2351,Gm38385,TEC,0,0,0,0
ENSMUSG00000102343.1,chr1,-,1364,Gm37381,lncRNA,0,0,0,0
ENSMUSG00000025900.12,chr1,-,12311,Rp1,"protein_coding,retained_intron",0.007968,0.022084,0.044533,0.036644
ENSMUSG00000102948.1,chr1,-,1867,Gm6101,processed_pseudogene,0,0,0,0
ENSMUSG00000104123.1,chr1,-,1484,Gm37483,TEC,0,0,0,0
ENSMUSG00000025902.13,chr1,-,4772,Sox17,"protein_coding,retained_intron",0.71946,0.79762,1.313016,1.285688
ENSMUSG00000104238.1,chr1,+,2917,Gm37587,"lncRNA,retained_intron",0,0,0,0
ENSMUSG00000102269.1,chr1,+,2991,Gm7357,processed_pseudogene,0.098388,0,0.288043,0.090497
ENSMUSG00000104328.1,chr1,-,2773,Gm37323,lncRNA,0.070749,0.163406,0.056489,0.065074
ENSMUSG00000102735.1,chr1,+,936,Gm7369,processed_pseudogene,0,0,0,0
ENSMUSG00000098104.1,chr1,-,1470,Gm6085,processed_pseudogene,0.800761,1.417939,1.971356,1.104796
ENSMUSG00000102175.1,chr1,-,1206,Gm6119,processed_pseudogene,0,0,0.129886,0.22444
ENSMUSG00000103265.1,chr1,-,631,Gm2053,processed_pseudogene,0.310914,0,0.124123,0
ENSMUSG00000103922.1,chr1,+,1069,Gm6123,processed_pseudogene,1.835233,2.458483,2.271248,5.823692
ENSMUSG00000033845.13,chr1,-,8487,Mrpl15,"lncRNA,nonsense_mediated_decay,protein_coding,retained_intron",15.661166,14.821159,17.007941,28.969388
ENSMUSG00000102275.1,chr1,-,1150,Gm37144,TEC,0.852985,1.103258,2.588012,2.118327
ENSMUSG00000025903.14,chr1,+,7145,Lypla1,"nonsense_mediated_decay,protein_coding,retained_intron",3.198841,4.540751,7.826662,15.052237
ENSMUSG00000104217.1,chr1,+,825,Gm37988,nonsense_mediated_decay,0,0,0,0
ENSMUSG00000033813.15,chr1,+,3017,Tcea1,protein_coding,32.773605,43.134627,46.883825,102.665732
ENSMUSG00000062588.4,chr1,-,603,Gm6104,processed_pseudogene,24.238623,19.838258,25.068053,64.638825
ENSMUSG00000103280.1,chr1,-,1111,Gm37277,TEC,4.326344,8.157045,5.992189,11.694333
ENSMUSG00000002459.17,chr1,-,4239,Rgs20,"lncRNA,nonsense_mediated_decay,protein_coding,retained_intron",13.814969,22.469128,22.374912,25.860676
ENSMUSG00000102653.1,chr1,-,2135,Gm37079,TEC,0,0.254683,0.110054,0.08452
ENSMUSG00000085623.1,chr1,+,3725,Gm16041,lncRNA,0,0,0,0.048443
ENSMUSG00000091665.1,chr1,+,1588,Gm17101,processed_pseudogene,0,0.171205,0.049321,0
ENSMUSG00000033793.12,chr1,+,9746,Atp6v1h,"protein_coding,retained_intron",21.106247,22.316791,16.819901,31.226043
ENSMUSG00000104352.1,chr1,-,732,Gm7182,processed_pseudogene,0,0,0,0.246516
ENSMUSG00000104046.1,chr1,+,2279,Gm37567,TEC,0,0,0,0
ENSMUSG00000102907.1,chr1,+,2032,Gm38264,TEC,0,0,0,0
ENSMUSG00000025905.13,chr1,+,9151,Oprk1,"protein_coding,retained_intron",0.107194,0.118839,0.017118,0.147894
ENSMUSG00000103519.1,chr1,-,1799,Gm37429,TEC,0,0,0,0
ENSMUSG00000033774.4,chr1,-,3692,Npbwr1,protein_coding,0.053138,0.049093,0,0.048876
ENSMUSG00000103090.1,chr1,-,1083,Gm19214,processed_pseudogene,0,0,0,0
ENSMUSG00000025907.14,chr1,+,14690,Rb1cc1,"lncRNA,nonsense_mediated_decay,protein_coding,retained_intron",7.091559,10.222277,9.186373,15.747922
ENSMUSG00000090031.2,chr1,-,5428,4732440D04Rik,lncRNA,1.066231,1.068531,1.789215,2.24399
ENSMUSG00000087247.3,chr1,+,971,Alkal1,protein_coding,0,0,0,0
ENSMUSG00000103355.1,chr1,+,639,Gm2147,processed_pseudogene,0.153511,0.850937,1.348256,0.564789
ENSMUSG00000103845.1,chr1,-,4530,Gm19026,processed_pseudogene,2.858345,2.440667,1.72895,1.991722
ENSMUSG00000033740.17,chr1,+,6464,St18,"lncRNA,nonsense_mediated_decay,protein_coding",9.044486,12.35155,11.668245,23.421657
ENSMUSG00000103329.2,chr1,-,2915,Gm42492,TEC,0.033651,0,0,0
ENSMUSG00000104385.1,chr1,+,663,Gm7449,processed_pseudogene,0,0,0,0
ENSMUSG00000102135.1,chr1,+,626,Gm37108,processed_pseudogene,1.410286,1.592448,2.001826,3.891495
ENSMUSG00000103629.1,chr1,+,641,Gm5694,processed_pseudogene,0,0,0,0
ENSMUSG00000051285.17,chr1,+,6654,Pcmtd1,"lncRNA,nonsense_mediated_decay,protein_coding,retained_intron",9.788683,14.872595,17.079109,30.780104
ENSMUSG00000103509.1,chr1,+,4028,Gm38372,TEC,0.51141,0.922447,1.399986,3.382319
ENSMUSG00000048538.7,chr1,+,1299,Gm9826,processed_pseudogene,3.24712,3.767311,5.124959,3.264493
ENSMUSG00000102768.1,chr1,+,1012,Gm19002,processed_pseudogene,0,0,0,0
ENSMUSG00000097797.6,chr1,-,4339,Gm26901,"lncRNA,retained_intron",0.655613,0.689241,1.985563,1.060492
ENSMUSG00000103498.1,chr1,+,1124,Gm18984,processed_pseudogene,0,0,0,0
ENSMUSG00000103067.1,chr1,+,2596,Gm30414,lncRNA,0,0,0,0
ENSMUSG00000104226.1,chr1,+,2095,Gm7470,processed_pseudogene,0,0,0,0
ENSMUSG00000103903.1,chr1,+,881,Rps2-ps2,processed_pseudogene,0,0,0,0
ENSMUSG00000103557.1,chr1,-,1214,Gm38216,processed_pseudogene,0,0,0,0
ENSMUSG00000025909.16,chr1,-,10908,Sntg1,"lncRNA,nonsense_mediated_decay,protein_coding,retained_intron",0.467624,0.465254,0.179505,0.603816
ENSMUSG00000102647.1,chr1,-,2532,Gm38024,TEC,0,0,0.061865,0
ENSMUSG00000102253.1,chr1,-,3534,Gm38259,TEC,0,0,0,0
ENSMUSG00000103884.1,chr1,-,1164,Gm37005,TEC,0,0.077856,0,0
ENSMUSG00000066693.2,chr1,-,626,Gm7493,processed_pseudogene,0,0.144768,1.126027,0.576518
ENSMUSG00000102316.1,chr1,-,1050,Gm37629,TEC,0,0,0,0
ENSMUSG00000103819.1,chr1,-,518,Gm38008,processed_pseudogene,0,0,0,0
ENSMUSG00000102871.1,chr1,+,3259,Gm37143,TEC,0,0,0,0
ENSMUSG00000101571.2,chr1,-,960,Gm6187,processed_pseudogene,0.10218,0.944008,0.979018,3.289454
ENSMUSG00000104428.1,chr1,-,636,Gm18299,processed_pseudogene,0,0,0,0
ENSMUSG00000102272.1,chr1,+,1170,Gm7512,processed_pseudogene,0,0,0,0
ENSMUSG00000103411.1,chr1,-,1406,Gm18300,processed_pseudogene,0,0,0.055705,0.192514
ENSMUSG00000061024.8,chr1,+,2048,Rrs1,protein_coding,58.673923,48.011658,57.823242,81.502099
ENSMUSG00000025911.14,chr1,+,3780,Adhfe1,"nonsense_mediated_decay,protein_coding",0.155704,0.335647,0.352239,0.596726
ENSMUSG00000079671.8,chr1,-,4910,2610203C22Rik,"lncRNA,retained_intron",0.039957,0.184572,0.366882,0.330764
ENSMUSG00000081441.3,chr1,+,1102,Gm6161,processed_pseudogene,0.71211,1.315786,1.776802,2.865586
ENSMUSG00000067879.3,chr1,+,3256,Vxn,protein_coding,8.857312,6.095462,8.010146,14.99132
ENSMUSG00000099827.1,chr1,-,1067,Gm29520,lncRNA,0,0,0,0
ENSMUSG00000025912.16,chr1,-,5402,Mybl1,"protein_coding,retained_intron",3.758848,4.898636,8.728156,13.996404
ENSMUSG00000045210.8,chr1,-,9749,Vcpip1,protein_coding,9.226739,11.749893,10.411793,19.703465
ENSMUSG00000097893.8,chr1,+,3101,1700034P13Rik,lncRNA,0.031633,0.263019,0.202055,0.407336
ENSMUSG00000025915.14,chr1,+,14311,Sgk3,"lncRNA,nonsense_mediated_decay,protein_coding,retained_intron",0.445536,0.569927,1.411986,2.048993
ENSMUSG00000046101.16,chr1,+,5916,Mcmdc2,"nonsense_mediated_decay,protein_coding",0.646659,1.148894,0.900246,1.448847
ENSMUSG00000098234.7,chr1,-,1146,Snhg6,lncRNA,73.955097,147.878114,43.808059,94.240276
ENSMUSG00000099032.2,chr1,-,4193,Tcf24,protein_coding,0,0,0.056037,0.043036
ENSMUSG00000104025.1,chr1,+,1374,E330040D14Rik,TEC,0,0,0,0
ENSMUSG00000025916.10,chr1,-,1523,Ppp1r42,"nonsense_mediated_decay,protein_coding,retained_intron",0.386447,0.714049,0.617109,1.007108
ENSMUSG00000087199.1,chr1,+,656,Gm15818,lncRNA,0,0,0,0
ENSMUSG00000025917.9,chr1,-,3766,Cops5,"nonsense_mediated_decay,protein_coding,retained_intron",55.688609,67.523394,63.597167,119.980598
ENSMUSG00000056763.16,chr1,+,17553,Cspp1,"nonsense_mediated_decay,protein_coding,retained_intron",4.19689,7.765035,7.57647,12.675606
ENSMUSG00000102356.1,chr1,-,920,1700047N06Rik,TEC,0,0,0,0
ENSMUSG00000067851.11,chr1,-,11318,Arfgef1,"protein_coding,retained_intron",17.24735,20.210012,15.936937,25.318491
ENSMUSG00000102556.1,chr1,-,1722,Gm37569,TEC,0.056965,0.052628,0,0.104791
ENSMUSG00000042501.12,chr1,-,6840,Cpa6,"lncRNA,nonsense_mediated_decay,protein_coding,retained_intron",0,0.039748,0,0
ENSMUSG00000103810.1,chr1,-,2745,Gm38005,TEC,0,0,0,0
ENSMUSG00000083422.1,chr1,-,1456,Gm15604,processed_pseudogene,0.067372,0,0,0.061968
ENSMUSG00000103448.1,chr1,-,1922,Gm37133,TEC,0,0,0,0
ENSMUSG00000100212.1,chr1,+,1242,Gm5522,processed_pseudogene,0,0,0,0
ENSMUSG00000100648.1,chr1,+,759,Gm28659,processed_pseudogene,0.25848,0.1194,0.206381,0.356621
ENSMUSG00000048960.13,chr1,+,16609,Prex2,"nonsense_mediated_decay,protein_coding,retained_intron",0.307113,0.556549,1.353378,3.232217
ENSMUSG00000101827.1,chr1,-,609,Gm28686,processed_pseudogene,0,0,0,0
ENSMUSG00000103494.1,chr1,-,3039,Gm37410,TEC,0,0,0,0
ENSMUSG00000057715.13,chr1,+,9183,A830018L16Rik,"lncRNA,nonsense_mediated_decay,protein_coding",0.138867,0.128294,0.230282,0.579688
ENSMUSG00000103825.1,chr1,+,2471,Gm38178,TEC,0,0,0.095089,0
ENSMUSG00000103561.1,chr1,+,2144,Gm38069,TEC,0,0,0,0
ENSMUSG00000101610.1,chr1,+,873,Gm7560,processed_pseudogene,0.112363,0.311425,0.358861,0.723454
ENSMUSG00000097628.1,chr1,+,807,Gm2383,processed_pseudogene,0.243106,0,0.38821,0.111803
ENSMUSG00000098163.1,chr1,+,687,Gm6216,processed_pseudogene,0,0,0,0
ENSMUSG00000097171.1,chr1,+,3200,Gm17644,lncRNA,0,0,0,0
ENSMUSG00000101314.1,chr1,-,853,Gm29663,lncRNA,0,0,0,0
ENSMUSG00000016918.15,chr1,+,11294,Sulf1,"protein_coding,retained_intron",0.130281,0.112338,19.077586,33.672612
ENSMUSG00000025938.16,chr1,-,13137,Slco5a1,"lncRNA,protein_coding",16.375004,14.093507,8.93092,13.921453
ENSMUSG00000104518.1,chr1,-,551,Gm37162,TEC,0,0,0,0
ENSMUSG00000042414.7,chr1,-,2564,Prdm14,protein_coding,0,0.035345,0,0
ENSMUSG00000005886.14,chr1,-,15642,Ncoa2,"lncRNA,protein_coding,retained_intron",12.968724,13.418167,12.472745,17.48319
ENSMUSG00000103506.1,chr1,-,2253,Gm38376,TEC,0.174156,0.080448,0.139053,0.040047
ENSMUSG00000103495.1,chr1,-,1626,Gm37409,TEC,0,0.11147,0,0
ENSMUSG00000102639.1,chr1,-,695,Gm38223,TEC,0.141141,0,0.112693,0
ENSMUSG00000104170.1,chr1,-,1872,Gm37702,TEC,0.0524,0.193643,0.334707,0.048197
ENSMUSG00000103085.1,chr1,-,4642,Gm38120,TEC,0.190185,0.156182,0.438681,0.194367
ENSMUSG00000102664.1,chr1,-,2248,Gm38380,TEC,0.130907,0.241881,0.243883,0.240814
ENSMUSG00000101476.1,chr1,+,681,Gm29570,lncRNA,0.288086,0,0.230019,0
ENSMUSG00000101171.1,chr1,-,644,Gm7593,processed_pseudogene,0.152319,0,0,0.140101
ENSMUSG00000025935.10,chr1,-,3162,Tram1,"nonsense_mediated_decay,protein_coding,retained_intron",19.699302,21.810705,30.565668,45.940004
ENSMUSG00000025937.6,chr1,-,4566,Lactb2,"protein_coding,retained_intron",1.460871,2.877922,4.013845,8.101678
ENSMUSG00000102982.1,chr1,-,1266,Gm38319,TEC,0,0,0,0.498875
ENSMUSG00000067813.3,chr1,+,1926,Xkr9,protein_coding,0,0,0.040665,0.046846
ENSMUSG00000097711.1,chr1,-,997,Gm5523,processed_pseudogene,0.59033,0.090897,0.314228,0.180993
ENSMUSG00000102166.1,chr1,-,2249,Gm36947,TEC,0,0.040296,0,0.040118
ENSMUSG00000104209.1,chr1,-,3605,Gm37400,TEC,0,0,0,0
ENSMUSG00000025932.14,chr1,-,7808,Eya1,"protein_coding,retained_intron",0.879422,1.740998,6.54016,11.104796
ENSMUSG00000054493.2,chr1,+,3566,Gm9947,lncRNA,0.027508,0,0.021963,0.050603
ENSMUSG00000025930.6,chr1,-,2546,Msc,"protein_coding,retained_intron",0.038528,0.07119,0.2461,0.17719
ENSMUSG00000103492.1,chr1,+,4321,Gm37412,TEC,0,0,0.018126,0.041761
ENSMUSG00000082193.1,chr1,+,894,Rpl5-ps1,processed_pseudogene,2.852823,2.73699,2.803452,8.073828
ENSMUSG00000032769.5,chr1,-,4263,Trpa1,protein_coding,0.046021,0.085034,0.514426,0.67727
ENSMUSG00000073737.3,chr1,-,996,Gm10566,processed_pseudogene,0.590923,0.909887,1.336812,0.905874
ENSMUSG00000092083.4,chr1,+,15165,Kcnb2,protein_coding,0.970259,1.183231,0.867656,1.433843
ENSMUSG00000102937.1,chr1,+,1533,Gm38116,TEC,0,0,0,0
ENSMUSG00000104149.1,chr1,+,2089,Gm37138,TEC,0,0,0,0
ENSMUSG00000025925.14,chr1,+,4608,Terf1,"lncRNA,protein_coding,retained_intron",10.622508,17.582149,16.605911,27.196736
ENSMUSG00000104379.1,chr1,+,3169,Gm37509,TEC,0.061908,0.400362,0.197719,0.484009
ENSMUSG00000032719.4,chr1,-,2748,Sbspon,protein_coding,0.035696,0.131914,0.342015,0.262664
ENSMUSG00000100652.1,chr1,+,553,Gm7634,processed_pseudogene,0,0.163878,0,0.652622
ENSMUSG00000067795.13,chr1,-,2063,4930444P10Rik,protein_coding,1.046074,0.439286,1.10098,1.312046
ENSMUSG00000043716.13,chr1,-,2687,Rpl7,"lncRNA,protein_coding,retained_intron",1010.173975,1162.405164,1243.028409,1858.05799
ENSMUSG00000025921.7,chr1,+,4160,Rdh10,"protein_coding,retained_intron",9.33772,13.65907,11.484633,13.794018
ENSMUSG00000104165.1,chr1,-,2321,Gm38249,TEC,0,0,0.134979,0
ENSMUSG00000100868.1,chr1,+,1515,Gm28095,lncRNA,0,0,0,0
ENSMUSG00000025920.19,chr1,-,6747,Stau2,"lncRNA,nonsense_mediated_decay,protein_coding",20.892242,20.107497,17.760751,32.84314
ENSMUSG00000089982.7,chr1,+,1003,Gm7568,lncRNA,0,0,0,0
ENSMUSG00000025939.18,chr1,-,4930,Ube2w,"lncRNA,nonsense_mediated_decay,protein_coding,retained_intron",11.81894,15.937459,15.823153,30.526439
ENSMUSG00000102457.1,chr1,+,2980,Gm38342,TEC,0,0.060822,0.052565,0
ENSMUSG00000079658.9,chr1,-,3026,Eloc,"protein_coding,retained_intron",63.861085,74.781906,67.295345,143.268754
ENSMUSG00000097744.1,chr1,+,2788,D030040B21Rik,lncRNA,0.070368,0.032505,0,0.16181
ENSMUSG00000100959.1,chr1,-,683,Gm7654,processed_pseudogene,0,0,0,0
ENSMUSG00000025940.6,chr1,+,1820,Tmem70,"lncRNA,protein_coding",28.296121,31.569288,35.718014,58.547119
ENSMUSG00000025779.10,chr1,+,1021,Ly96,"protein_coding,retained_intron",0.384303,1.15389,1.4575,3.358032
ENSMUSG00000091020.3,chr1,-,1860,Gm5828,processed_pseudogene,0.791074,0.730845,0.547408,1.212702
ENSMUSG00000104133.1,chr1,+,827,4921511E07Rik,TEC,0,0,0,0
ENSMUSG00000042686.5,chr1,-,4998,Jph1,"nonsense_mediated_decay,protein_coding",2.590697,5.294604,5.516035,9.946777
ENSMUSG00000025777.8,chr1,+,7731,Gdap1,"nonsense_mediated_decay,protein_coding,retained_intron",11.419467,15.696102,9.999127,21.030332
ENSMUSG00000099899.1,chr1,+,1011,Gm28784,lncRNA,0.194052,0.268916,0.154939,0
ENSMUSG00000101589.1,chr1,-,2870,Rbm6-ps1,processed_pseudogene,0.717755,0.789414,0.87327,1.634739
ENSMUSG00000067780.3,chr1,+,6923,Pi15,protein_coding,0,0,0.079193,0.052131
ENSMUSG00000100053.1,chr1,-,4218,Gm28154,lncRNA,0.023256,0.171882,0.129979,0.320857
ENSMUSG00000085125.7,chr1,-,8345,Gm16070,lncRNA,0.082283,0.152037,0.018771,0.097307
ENSMUSG00000025776.13,chr1,+,4515,Crispld1,protein_coding,0.521426,0.843021,4.631633,6.314753
ENSMUSG00000099895.1,chr1,-,629,Gm28153,lncRNA,0,0.144078,0,0
ENSMUSG00000100554.1,chr1,+,1399,Gm7690,processed_pseudogene,0.070117,0.259113,0.167952,0.322463
ENSMUSG00000099473.1,chr1,-,586,Gm18775,transcribed_unprocessed_pseudogene,0,0.3093,0,0.153968
ENSMUSG00000099591.1,chr1,+,2557,Gm17969,processed_pseudogene,0.038363,0,0,0.070571
ENSMUSG00000109887.1,chr1,-,2570,Gm28756,"lncRNA,retained_intron",6.641331,3.914144,2.956101,4.35327
ENSMUSG00000025774.14,chr1,-,2737,Crisp4,"protein_coding,retained_intron",0.03584,0,0.028616,0.098895
ENSMUSG00000067773.6,chr1,-,610,Defb41,protein_coding,0,0,0,0
ENSMUSG00000101685.1,chr1,-,985,Gm17837,processed_pseudogene,0,0.092005,0,0.641193
ENSMUSG00000101306.1,chr1,+,909,Gm5252,processed_pseudogene,0,0,0,0.099257
ENSMUSG00000089787.2,chr1,-,918,Gm15825,lncRNA,0.106855,0.296159,0,0.196569
ENSMUSG00000042596.7,chr1,+,1954,Tfap2d,"lncRNA,protein_coding",2.108452,1.205857,1.483057,2.770472
ENSMUSG00000100720.1,chr1,-,545,Gm10075,processed_pseudogene,2.159851,1.829124,2.155636,4.469864
ENSMUSG00000025927.13,chr1,+,6338,Tfap2b,"protein_coding,retained_intron",0,0,0.976237,0.953783
ENSMUSG00000100204.1,chr1,+,2246,Gm4849,processed_pseudogene,0.393072,0.806988,0.45333,0.723086
ENSMUSG00000102597.1,chr1,+,2499,Gm38382,TEC,0,0,0,0
ENSMUSG00000043760.16,chr1,-,14310,Pkhd1,"lncRNA,protein_coding,retained_intron",0,0,0,0.006305
ENSMUSG00000104095.1,chr1,-,3479,Gm37315,TEC,0,0,0,0
ENSMUSG00000089914.2,chr1,+,788,4930486I03Rik,lncRNA,0.124484,0,0,0.228998
ENSMUSG00000090142.2,chr1,-,553,Gm15795,processed_pseudogene,1.773838,1.147149,1.557931,3.915734
ENSMUSG00000099906.2,chr1,+,5551,Gm28653,lncRNA,0,0,0,0
ENSMUSG00000025929.4,chr1,+,1171,Il17a,protein_coding,0,0,0,0
ENSMUSG00000041872.9,chr1,-,2022,Il17f,"lncRNA,protein_coding,retained_intron",0.630669,0.627471,0.619754,1.026299
ENSMUSG00000041859.10,chr1,-,3752,Mcm3,"protein_coding,retained_intron",214.670422,191.949638,252.999925,254.852033
ENSMUSG00000099714.1,chr1,+,1186,Gm20587,processed_pseudogene,0,0,0,0
ENSMUSG00000102121.1,chr1,+,833,Gm28065,lncRNA,0,0,0,0
ENSMUSG00000097934.1,chr1,-,1120,6720483E21Rik,lncRNA,0.700666,0.566405,1.748246,2.336184
ENSMUSG00000025931.15,chr1,+,5488,Paqr8,protein_coding,10.170379,17.504055,23.547806,28.902259
ENSMUSG00000100929.1,chr1,+,858,Gm28064,processed_pseudogene,0,0.105623,0.273851,0.525787
ENSMUSG00000041809.5,chr1,+,2208,Efhc1,"lncRNA,protein_coding",1.066231,0.820877,3.724524,4.494906
ENSMUSG00000041779.5,chr1,-,6661,Tram2,"lncRNA,protein_coding",5.551891,5.142796,8.242504,5.689012
ENSMUSG00000099971.1,chr1,+,546,Gm28287,lncRNA,0,0,0.286892,0
ENSMUSG00000100819.1,chr1,+,571,Gm2693,unprocessed_pseudogene,1.374336,1.587124,1.920315,1.580123
ENSMUSG00000025933.15,chr1,+,1351,Tmem14a,protein_coding,9.802061,13.885512,11.420667,19.634462
ENSMUSG00000102633.1,chr1,+,2100,Gm38224,TEC,0,0,0.074592,0
ENSMUSG00000025934.15,chr1,+,4344,Gsta3,"protein_coding,retained_intron",0.135488,0.166896,0.072119,0.12462
ENSMUSG00000099343.1,chr1,-,633,Gm28836,lncRNA,0,0,0,0.142536
ENSMUSG00000025936.15,chr1,-,1365,Gm4956,"lncRNA,transcribed_unprocessed_pseudogene",0,0,0,0
ENSMUSG00000067750.3,chr1,+,1987,Khdc1a,protein_coding,0,0,0,0
